original_title;overview
Toy Story;Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onscene. Afraid losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, duo eventually learns put aside their differences.
Bug's Life;"On behalf ""oppressed bugs everywhere,"" an inventive ant named Flik hires troupe warrior bugs defend his bustling colony from horde freeloading grasshoppers led by evil-minded Hopper."
Toy Story 2;Andy heads off Cowboy Camp, leaving his toys their own devices. Things shift inhigh gear when an obsessive toy collector named Al McWhiggen, owner Al's Toy Barn kidnaps Woody. Andy's toys mount daring rescue mission, Buzz Lightyear meets his match and Woody has decide where he and his heart truly belong.
Monsters, Inc.;James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are best in business... even though they're more afraid children than they are them. When child accidentally enters their world, James and Mike suddenly find that kids are not be afraid and they uncover conspiracy that could threaten all children across world.
Finding Nemo;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home dentist's office aquarium. It's up his worrisome father Marlin and friendly but forgetful fish Dory bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along way.
Incredibles;Bob Parr has given up his superhero days log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives mysterious assignment, it's time get back incostume.
Luxo Jr.;baby lamp finds ball play with and it's all fun and games until ball bursts. Just when elder Luxo thinks his kid will settle down for bit, Luxo Jr. finds ball ten times bigger.
Cars;Lightning McQueen, hotshot rookie race car driven succeed, discovers that life is about journey, not finish line, when he finds himself unexpectedly detoured in sleepy Route 66 town Radiator Springs. On route across country big Piston Cup Championship in Californicompete against two seasoned pros, McQueen gets know town's offbeat characters.
Ratatouille;rat named Remy dreams becoming great French chef despite his family's wishes and obvious problem being rat in decidedly rodent-phobic profession. When fate places Remy in sewers Paris, he finds himself ideally situated beneath restaurant made famous by his culinary hero, Auguste Gusteau. Despite apparent dangers being an unlikely - and certainly unwanted - visitor in kitchen fine French restaurant, Remy's passion for cooking soon sets inmotion hilarious and exciting rat race that turns culinary world Paris upside down.
WALL·E;WALL·E is last robot left on an Earth that has been overrun with garbage and all humans have fled outer space. For 700 years he has continued try and clean up mess, but has developed some rather interesting human-like qualities. When ship arrives with sleek new type robot, WALL·E thinks he's finally found friend and stows away on ship when it leaves.
Up;Carl Fredricksen spent his entire life dreaming exploring globe and experiencing life its fullest. But at age 78, life seems have passed him by, until twist fate (and persistent 8-year old Wilderness Explorer named Russell) gives him new lease on life.
Partly Cloudy;"Everyone knows that stork delivers babies, but where do storks get babies from? answer lies up in stratosphere, where cloud people sculpt babies from clouds and bring them life. Gus, lonely and insecure grey cloud, is master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works art, but more than handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage handle both his hazardous cargo and his friend's fiery temperament?"
